"File","EselStudioString","GyroToken","HasDefaultRenderCamera","HasSampler2DUniform"
"gyro_AU31627.iaa","ESEL-Studio 2.24.10-1017","gyro_au316_2","True","True"
"gyro_AU31630.iaa","ESEL-Studio 2.24.10-1017","gyro_au316_3","True","True"
"gyro_AU31647.iaa","ESEL-Studio 2.24.10-1017","gyro_au316_4","True","True"
"gyro_AU42600.iaa","ESEL-Studio 2.24.10-1017","gyro_au426","True","True"
"gyro_AU51607.iaa","ESEL-Studio 2.24.10-1017","gyro_au516","True","True"
"gyro_AU53600.iaa","ESEL-Studio 2.24.10-1017","gyro_au736","True","True"
"gyro_AU53630.iaa","ESEL-Studio 2.24.10-1017","gyro_au536","True","True"
"gyro_AU53636.iaa","ESEL-Studio 2.24.10-1017","gyro_au536_6","True","True"
"gyro_AU58240.iaa","ESEL-Studio 2.24.10-1017","gyro_au5824","True","True"
